DW_DATE_KEY|DW_BUDGET_SBU_KEY|DW_BUDGET_ITEM_KEY|BUDGET_AMT|ACTUAL_AMT|VARIANCE
20121130|125|1|899000000|386400336.92|512599663.08
20121130|125|2|179800000|29981241.52|149818758.48
20121130|126|1|818000000|251739913.52|566260086.48
20121130|126|2|163600000|51280574.16|112319425.84
20121130|127|1|852000000|296848033.22|555151966.78
20121130|127|2|170400000|116945851.14|53454148.86
20121130|128|1|16159000000|1085653.35|16157914346.65
20121130|128|2|1615900000|0|1615900000
20121130|129|1|1608000000|985485761.18|622514238.82
20121130|129|2|321600000|45669891|275930109
20121130|130|1|2346000000|889981540.22|1456018459.78
20121130|130|2|469200000|92892012.69|376307987.31
20121130|131|1|1435000000|438668925.95|996331074.05
20121130|131|2|287000000|11210356.82|275789643.18
20121130|132|1|2754000000|1849219039.31|904780960.69
20121130|132|2|550800000|133058227.11|417741772.89
20121130|133|1|4643000000|2771117903.2|1871882096.8
20121130|133|2|464300000|8777596.15|455522403.85
20121130|134|1|1460000000|581355842.77|878644157.23
20121130|134|2|292000000|6386652.12|285613347.88
20121130|135|1|2229000000|1477732940.35|751267059.65
20121130|135|2|445800000|75409718.92|370390281.08
20121130|136|1|2325000000|324324.74|2324675675.26
20121130|136|2|465000000|0|465000000
20121130|137|1|1897000000|455627226.43|1441372773.57
20121130|137|2|379400000|1860650.26|377539349.74
20121130|138|1|1460000000|1706504.94|1458293495.06
20121130|138|2|292000000|0|292000000
20121130|139|1|1453000000|915995107.51|537004892.49
20121130|139|2|290600000|15766283.83|274833716.17
20121130|140|1|1257000000|524832445.89|732167554.11
20121130|140|2|251400000|5931770.8|245468229.2
20121130|141|1|953000000|342975546.95|610024453.05
20121130|141|2|190600000|72186073.62|118413926.38
20121130|142|1|1429000000|0|1429000000
20121130|142|2|285800000|0|285800000
20121130|143|1|1465000000|679389943.34|785610056.66
20121130|143|2|293000000|39838497.5|253161502.5
20121130|144|1|1457000000|767311696.13|689688303.87
20121130|144|2|291400000|5546607.85|285853392.15
20121130|49|1|2705000000|1464954257.55|1240045742.45
20121130|49|2|676250000|81460538.48|594789461.52
20121130|50|1|1520000000|549516178.99|970483821.01
20121130|50|2|380000000|105030170.6|274969829.4
20121130|51|1|1107000000|517270810.54|589729189.46
20121130|51|2|276750000|283897745.44|-7147745.44
20121130|52|1|1450000000|587835080.64|862164919.36
20121130|52|2|362500000|80710859.5|281789140.5
20121130|53|1|1403000000|886980557.82|516019442.18
20121130|53|2|350750000|525070467.68|-174320467.68
20121130|54|1|1224000000|175899213.89|1048100786.11
20121130|54|2|306000000|20478238.67|285521761.33
20121130|55|1|1677000000|455725626.77|1221274373.23
20121130|55|2|419250000|101165692.12|318084307.88
20121130|56|1|1249000000|318417533.37|930582466.63
20121130|56|2|312250000|7625167.79|304624832.21
20121130|57|1|1183000000|259389711.15|923610288.85
20121130|57|2|295750000|24956515.89|270793484.11
20121130|58|1|1324000000|589571027.98|734428972.02
20121130|58|2|331000000|24365838.57|306634161.43
20121130|59|1|2229000000|858914639.15|1370085360.85
20121130|59|2|557250000|273087548.73|284162451.27
20121130|60|1|1243000000|494675223.39|748324776.61
20121130|60|2|310750000|19013347.62|291736652.38
20121130|61|1|1471000000|549381600.5|921618399.5
20121130|61|2|367750000|4956170.86|362793829.14
20121130|62|1|1324000000|417188939.83|906811060.17
20121130|62|2|331000000|94817443.56|236182556.44
20121130|63|1|1929000000|1597018022.76|331981977.24
20121130|63|2|482250000|233971702.33|248278297.67
20121130|64|1|3411000000|1634985236|1776014764
20121130|64|2|852750000|90824680.63|761925319.37
20121130|65|1|1522000000|690297601.59|831702398.41
20121130|65|2|380500000|12284068.97|368215931.03
20121130|66|1|1529000000|553016657.55|975983342.45
20121130|66|2|382250000|14250700.5|367999299.5
20121130|67|1|1415000000|505912048.77|909087951.23
20121130|67|2|353750000|14305078.91|339444921.09
20121130|68|1|1896000000|985839268.77|910160731.23
20121130|68|2|474000000|660119980.34|-186119980.34
20121130|69|1|1662000000|810050960.95|851949039.05
20121130|69|2|415500000|19418687.72|396081312.28
20121130|70|1|1751000000|454322352.38|1296677647.62
